Item,,Min_UnitCost,Avg_UnitCost,Max_UnitCost
Pipe 13mm (½ inch) diameter PVC - 3m,Each,84,126,189
Pipe 19mm (3/4) diameter GI -6m,Each,593,889.5,1334.25
Pipe 19mm (3/4) diameter PVC -6m,Each,115,172.5,258.75
Pipe 25mm (1 inch) diameter GI -6m,Each,942,1413,2119.5
Pipe 25mm (1 inch) diameter PVC -6m,Each,155,232.5,348.75
Pipe 32mm (¼) diameter PVC -6m,Each,169,253.5,380.25
Pipe 32mm (1 ¼) diameter GI -6m,Each,1120,1680,2520
Pipe 40mm ( 1 ½) diameter PVC -6m,Each,170,255,382.5
Pipe 40mm (1 ½) diameter GI -6m,Each,1242,1863,2794.5
Pipe 50mm (2 inches) diameter GI -6m,Each,1530,2295,3442.5
Pipe 50mm (2 inches) diameter PVC - 6m,Each,187,280.5,420.75
P-trap - 32mm Diameter Rubber,Each,78,117,175.5
Quarry Dust (A),Ton,324,486,729
Quarry Dust (C),Ton,289,433.5,650.25
Rain down PVC pipe - 150 x 150mm diameter,m,417,625.5,938.25
Rain gutter - 150 x 150mm x 3m -GI,Each,349,523.5,785.25
Rain gutter - 150 x 150mm x 6m-PVC,Each,500,750,1125
Razor wire 500mm x 15 meters,Each,668,1002,1503
Rectangular tube 100 x 40mm x 6 metres,Each,705,1057.5,1586.25
Rectangular tube 50mm x 25 mm x 6 metres,Each,307,460.5,690.75
Rectangular tube 60 mm x 40mm x 6 metres,Each,397,595.5,893.25
Reducer - ¾ inches (19mm) x ½ inches (13mm) -GI,Each,23,34.5,51.75
Reducer - ¾ inches (19mm) x ½ inches (13mm) -PVC,Each,17,25.5,38.25
Reducer - 1 inch (25mm) x ¾inches (19mm -PVC,Each,22,33,49.5
Reducer - 1 inch (25mm) x ¾inches (19mm)-GI,Each,41,61.5,92.25
Return valve 1 ½ inches - GI,Each,272,408,612
Return valve 1 ½ inches PVC,Each,197,295.5,443.25
River sand,Ton,321,481.5,722.25
Roller Paint brush,Each,63,94.5,141.75
Roller Paint brush with tray,Each,97,145.5,218.25
Roof Sealant 5 litres,Each,375,562.5,843.75
Roofing nails 75mm GI,Kg,80,120,180
Roofing sheet 0.21mm Corrugated,m,78,117,175.5
Roofing sheet 0.21mm Corrugated (2m),Each,175,262.5,393.75
Roofing sheet 0.21mm Corrugated (3.5m),Each,250,375,562.5
Roofing sheet 0.25mm Corrugated,m,114,171,256.5
Roofing sheet 0.25mm Corrugated (2.5),Each,201,301.5,452.25
Roofing sheet 0.25mm Corrugated (3.5),Each,274,411,616.5
Roofing sheet 0.3mm Corrugated,m,109,163.5,245.25
Roofing sheet 0.3mm Corrugated (2m),Each,179,268.5,402.75
Roofing sheet 0.3mm Corrugated (3.5),Each,315,472.5,708.75
Roofing sheet 0.3mm thick IBR/IT4 colour coated sheet,m,119,178.5,267.75
Roofing sheet 0.3mm thick IBR/IT4 coloured ridge,m,112,168,252
Roofing sheet 0.3mm thick IBR/IT4 coloured Valley,m,116,174,261
Roofing sheet 0.3mm thick IBR/IT4 non coloured ridge,m,110,165,247.5
,,,0,0
Roofing sheet 0.3mm thick IBR/IT4 non coloured roofing sheet,m,104,156,234
,,,0,0
Roofing sheet 0.3mm thick IBR/IT4 non coloured roofing sheet,m,104,156,234
,,,0,0
Roofing sheet 0.3mm thick IBR/IT4 non coloured roofing sheet (2m),Each,204,306,459
,,,0,0
Roofing sheet 0.3mm thick IBR/IT4 non coloured roofing sheet (2m),Each,183,274.5,411.75
Roofing sheet 0.3mm thick versatile sheet,m,127,190.5,285.75
Roofing sheet 0.3mm thick versatile sheet (2m),Each,240,360,540
Roofing sheet 0.4mm Corrugated,m,144,216,324
Roofing sheet 0.4mm Corrugated (3.5m),Each,364,546,819
Roofing sheet 0.4mm thick IBR/IT4 colour coated sheet,m,139,208.5,312.75
Roofing sheet 0.4mm thick IBR/IT4 colour coated sheet (2m),Each,275,412.5,618.75
Roofing sheet 0.4mm thick IBR/IT4 coloured ridge,m,116,174,261
Roofing sheet 0.4mm thick IBR/IT4 coloured ridge (2m),Each,215,322.5,483.75
Roofing sheet 0.4mm thick IBR/IT4 coloured Valley,m,119,178.5,267.75
Roofing sheet 0.4mm thick IBR/IT4 coloured Valley (2m),Each,210,315,472.5
Roofing sheet 0.4mm thick IBR/IT4 non coloured ridge,m,114,171,256.5
Roofing sheet 0.4mm thick IBR/IT4 non coloured roofing sheet,m,140,210,315
Roofing sheet 0.4mm thick IBR/IT4 non coloured Valley,m,117,175.5,263.25
Roofing sheet 0.4mm thick versatile sheet,m,148,222,333
Roofing sheet 0.4mm thick versatile sheet(2m),Each,240,360,540
Roofing sheet 0.5mm Corrugated,m,174,261,391.5
Roofing sheet 0.5mm Corrugated(3.5m),Each,493,739.5,1109.25
Roofing sheet 0.5mm thick IBR/IT4 colour coated sheet,m,166,249,373.5
Roofing sheet 0.5mm thick IBR/IT4 coloured ridge,m,142,213,319.5
Roofing sheet 0.5mm thick IBR/IT4 coloured ridge(2m),Each,230,345,517.5
Roofing sheet 0.5mm thick IBR/IT4 coloured Valley,m,139,208.5,312.75
Roofing sheet 0.5mm thick IBR/IT4 non coloured ridge,m,139,208.5,312.75
Roofing sheet 0.5mm thick IBR/IT4 non coloured roofing sheet,m,159,238.5,357.75
Roofing sheet 0.5mm thick IBR/IT4 non coloured Valley,m,149,223.5,335.25
Roofing sheet 0.5mm thick versatile sheet,m,167,250.5,375.75
Roofing sheet 0.5mm thick versatile sheet (4m),Each,668,1002,1503
Scraper 1.5 inches,Each,23,34.5,51.75
Scraper 2.0 inches,Each,29,43.5,65.25
Scraper 3 inches,Each,36,54,81
Scraper 4 inches,Each,43,64.5,96.75
Scrapper 2.5 inches,Each,33,49.5,74.25
Sewer Pipe -110mm Diameter Heavy Duty PVC-6m Long),Each,397,595.5,893.25
Sewer Pipe -110mm Diameter Light Duty PVC-6m Long),Each,297,445.5,668.25
Shackle Insulator (Electricity Shackle),Each,79,118.5,177.75
Shovel,Each,232,348,522
Shower clip 13mm GI,Each,24,36,54
Shower clip 19mm GI,Each,30,45,67.5
Shower Curtain 1800 x1800mm,Each,274,411,616.5
Shower mixer - 13mm Diameter,Each,1517,2275.5,3413.25
Shower rose - 13mm,Each,116,174,261
Shower rose - 13mm PVC,Each,93,139.5,209.25
Shower rose - 19mm,Each,196,294,441
Shower tray - Acrylic,Each,823,1234.5,1851.75
Sink - Double drain and double bowl industrial stainless steel,Each,2399,3598.5,5397.75
Sink - Double drain and double bowl stainless steel,Each,1742,2613,3919.5
Sink - Single drain and single bowl industrial stainless steel,Each,1468,2202,3303
Sink - Single drain and single bowl stainless steel,Each,1180,1770,2655
Sink mixer - Kitchen and Laundry,Each,1111,1666.5,2499.75
Soap holder 150 x 150mm (Ceramic recessed),Each,138,207,310.5
Spirit level (Bubble Level) - 1200mm,Each,258,387,580.5
Spirit level (Bubble Level) - 600mm,Each,178,267,400.5
Square tube 16 x 16 mm x 6 metres x 1.6mm,Each,137,205.5,308.25
Square tube 20 x 20 mm x 6 metres x 1.6mm,Each,169,253.5,380.25
Square tube 25 x 25 mm x 6 metres x 1.6mm,Each,228,342,513
Square tube 30 x 30 mm x 6 metres x 1.6mm,Each,267,400.5,600.75
Square tube 40 x 40 mm x 6 metres x 1.6mm,Each,341,511.5,767.25
Square tube 50 x 50 mm x 6 metres x 1.6mm,Each,533,799.5,1199.25
Steel door frame 1200 x 2000 mm complete with grill door,Each,2065,3097.5,4646.25
Steel door frame 1800 x 2000 mm complete with grill door,Each,2868,4302,6453
Steel door frame 600 x 2000 mm complete with grill door,Each,1305,1957.5,2936.25
Steel door frame 700 x 2000 mm complete with grill door,Each,1337,2005.5,3008.25
Steel door frame 800 x 2000mm complete with grill gate,Each,1507,2260.5,3390.75
Steel door frame 900 x 2000 mm complete with grill door,Each,1500,2250,3375
Steel door frame 900 x 2200 mm with fanlight complete with grill door,Each,1925,2887.5,4331.25
Steel nails - 1 inch (Concrete Nails),Kg,77,115.5,173.25
Steel nails - 2 inches (Concrete Nails),Kg,80,120,180
Steel nails - 3 inches (Concrete Nails ),kg,80,120,180
Steel nails - 4 inches (Concrete Nails),kg,82,123,184.5
Steel nails - 5 inches (Concrete Nails),Kg,86,129,193.5
,,,0,0
Steel window frame Overall size 1200 x 1100mm high complete with burglar bars,Each,1163,1744.5,2616.75
,,,0,0
